36012,MI
35158,LA
35772,FL
36015,MI
35057,CO
33578,TX
32873,CA
36154,FL
36500,CA
34034,GA
33855,CA
36059,MS
34516,CA
36453,NY
33669,MO
35206,AR
33850,OH
33507,CA
32810,CA
36297,OH
33985,NY
33158,TX
35631,NY
33663,IA
34763,NY
34374,CT
32829,TX
33914,NY
35560,NY
34239,TX
36373,MO
35610,NY
33658,MI
34474,CA
33317,NY
36361,NY
34904,MA
35473,OH
34152,TX
34836,TN
36504,PA
32892,TX
35405,CA
34809,NY
34636,NY
34582,MI
35422,OH
36090,TN
33797,MO
36164,CA
35597,MN
34681,CA
33692,IL
36539,CA
32957,LA
35328,FL
32967,NJ
36654,TX
33176,NY
34098,CA
33339,CA
36228,TX
35129,CA
33422,CA
35625,CA
33646,TX
33115,CA
32974,CA
35633,CA
33281,OR
36176,TN
34631,FL
35457,NY
34130,OR
33616,NJ
35865,VA
35294,AZ
34046,NJ
34437,TX
33629,MS
33066,TX
33746,CA
35077,TX
33835,LA
36397,TN
34226,CO
33298,TN
35537,MI
34840,NY
33540,NC
33397,CA
36516,NC
34131,NY
35757,FL
34565,MO
35221,NC
34085,NJ
35591,IL
36033,NY
32977,TN
32782,CT
35871,MD
33413,FL
33311,CA
36293,TN
33210,GA
33323,IA
34202,PA
35781,LA
32872,MD
35759,CA
34019,LA
34572,CA
33832,CA
34560,OK
34627,MO
35986,TX
33497,FL
34638,PA
36120,GA
34544,CO
35380,TN
36020,OH
34654,CA
35203,IL
34715,OR
34247,NY
35103,TN
34651,TN
34919,NJ
34525,NY
33705,SC
34459,LA
33573,TN
36162,FL
35860,FL
34009,NY
36078,IL
35541,MO
32993,CA
35191,GA
33792,CT
35337,MS
33785,IL
32875,CA
34429,CA
34245,NC
35889,CA
35826,CA
36553,TX
34569,WA
35908,CA
36354,PA
34796,KY
34262,CA
36213,MA
33322,NC
35308,AR
32978,NH
33928,TN
33898,NC
36463,KY
33393,MS
34868,TN
36636,NC
35819,TN
35783,UT
35934,AR
36016,PA
36323,CA
33688,TX
33022,NY
36295,CA
36285,AZ
33459,CO
32788,AR
36147,NY
36602,NM
33432,MI
34453,CA
32780,PA
32896,AR
33182,NE
33230,NY
33173,KS
34015,MI
33944,MS
33523,CA
35917,CA
35603,IL
36140,LA
33812,IN
35459,MS
33769,NC
36403,TX
33644,MS
35804,GA
33205,CA
33479,CA
34254,FL
35452,FL
34794,TX
33845,SC
33645,OK
33171,MS
33119,TX
35695,KY
36085,MA
34594,MS
35905,KY
36489,NY
34784,CA
34966,AR
35627,PA
33716,NC
36181,FL
35565,AL
35436,TN
34706,CA
33326,MO
33563,CA
34012,AR
35656,NY
34484,CA
35483,MI
35120,AR
36392,MN
32969,LA
36385,CA
35192,CA
32808,TX
33766,PA
36605,PA
33913,MI
33698,CA
33371,AR
34741,MS
36220,CA
34639,NY
34097,NJ
36231,TX
32863,OK
33927,TX
35607,CT
36467,TN
34462,GA
33060,PA
34742,FL
34659,GA
34672,MO
36433,NJ
35762,TX
33953,MI
33856,NY
35056,NY
32813,TX
32937,HI
35183,MO
36331,CA
36054,IA
34655,PA
33455,NC
34946,CA
33135,OH
34613,NY
36646,AR
32909,NH
35841,IA
34265,LA
34020,TN
35516,IL
35407,IL
35583,CA
36076,IL
34624,NY
33903,TN
33623,NJ
33346,LA
33886,OK
36208,LA
32877,OK
35553,FL
35095,KS
35423,AR
34431,MO
34310,TX
36048,OH
35150,AR
34611,CA
35652,NY
35544,MO
33000,IL
33916,NY
35014,MI
36237,GA
33431,MA
35788,NY
35884,NV
33131,TX
34824,CA
34447,PA
35134,NY
34644,TN
32946,CA
32983,WA
32786,TX
36440,NY
34612,LA
33794,ND
33829,CA
36562,PA
34163,CA
34089,TX
33825,MA
35878,KS
34165,NY
34253,NY
36374,DE
34753,NY
35617,GA
35792,WI
33068,IL
36594,PA
35899,NY
36359,OH
36064,MN
34282,LA
36362,NY
35256,CA
34851,FL
33899,NY
35481,CA
33362,FL
33299,CA
36262,TX
35195,NY
34166,MA
36487,TX
36308,MN
36248,TX
36100,AR
34326,TX
34161,LA
36649,TX
33374,NY
33314,AL
36314,AR
34240,TN
36225,TX
35036,NY
33294,CA
33922,TN
34649,LA
36446,GA
34006,NY
36111,TN
32931,TX
36432,WI
35236,FL
33715,TX
34859,TN
32985,TX
35990,TX
35525,ID
34465,LA
33175,GA
33743,MO
33488,MA
33137,NY
35914,SC
34512,SD
35123,NY
34506,KY
35779,CA
32904,NY
36131,MI
33379,TN
33674,TX
34964,IL
35450,NY
34014,CA
36617,TX
32800,FL
35356,OK
34159,NY
33079,WI
32804,TX
34076,VA
36616,NY
33962,PA
33691,CA
35211,LA
36276,NY
34609,TX
33325,NY
33712,CA
33772,MS
36409,CA
33033,LA
35931,PA
34370,TN
35593,TX
34798,WI
35176,OH
36613,CA
33404,TN
35864,IL
34261,FL
34584,CA
34834,CA
36541,TN
34473,NY
34877,NY
35808,NY
34519,UT
35858,TX
35180,OK
35212,IN
36578,TX
33566,OK
34661,MA
34454,WA
